home_name,away_name,homeID,awayID,homeGoalCount,awayGoalCount,team_a_xg,team_b_xg,odds_ft_1,odds_ft_x,odds_ft_2,team_a_shots,team_b_shots,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_possession,team_b_possession,team_a_corners,team_b_corners,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_fouls,team_b_fouls,game_week,date_unix,status,match_id
Atlético Mineiro,Palmeiras,620,619,2,2,1.3,1.57,3.2,3.15,2.34,14,13,2,6,52,48,5,7,38,46,14,20,1,1769637600,complete,8409535
Vitória,Remo,610,2594,2,0,1.99,1.17,1.8,3.4,4.64,20,14,7,1,42,58,4,1,34,29,13,17,1,1769637600,complete,8409536
Coritiba,Bragantino,627,635,0,1,0.78,3.08,2.21,3.15,3.05,8,30,2,10,29,71,1,5,17,69,9,19,1,1769637600,complete,8409810
Internacional,Atlético PR,630,622,0,1,2.1,0.66,1.8,3.35,4.5,19,6,7,2,71,29,13,1,56,18,13,11,1,1769637600,complete,8409855
Fluminense,Grêmio,617,616,2,1,1.3,1.21,1.75,3.65,4.5,10,12,6,3,51,49,3,6,32,33,13,13,1,1769639400,complete,8409546
Corinthians,Bahia,624,626,1,2,1.5,1.26,2.04,3.31,3.32,17,11,5,6,59,41,4,6,9,19,14,14,1,1769641200,complete,8409537
Chapecoense,Santos,623,611,4,2,0.84,2.3,2.75,3.0,2.5,8,25,4,5,34,66,1,14,7,50,10,5,1,1769641200,complete,8409814
São Paulo,Flamengo,618,612,2,1,1.09,1.74,3.9,3.0,2.1,10,15,4,5,41,59,2,6,25,59,14,11,1,1769646600,complete,8409540
Mirassol,Vasco da Gama,2721,625,2,1,1.24,1.28,1.88,3.35,4.2,13,13,4,5,47,53,5,5,19,14,16,10,1,1769727600,complete,8409534
Botafogo,Cruzeiro,615,613,4,0,1.18,1.69,2.5,3.01,3.0,10,17,5,4,46,54,3,7,28,46,10,12,1,1769733000,complete,8409541
Bragantino,Atlético Mineiro,635,620,1,0,2.01,1.2,2.2,3.25,3.4,19,12,5,2,48,52,6,12,66,42,12,8,2,1770242400,complete,8409808
Flamengo,Internacional,612,630,1,1,1.91,1.04,1.41,4.6,7.5,18,9,5,5,65,35,4,3,57,16,20,17,2,1770242400,complete,8409854
