date_unix,season_year,division,game_week,team,elo_before,elo_after,opponent,is_home,goals_for,goals_against,result,k_used,date
1622228400,2021,B,1,Brasil de Pelotas,1350.0,1348.7679817244648,Londrina,True,0,0,D,8.399999999999999,2021-05-28 19:00:00
1622228400,2021,B,1,Londrina,1350.0,1351.2320182755352,Brasil de Pelotas,False,0,0,D,8.399999999999999,2021-05-28 19:00:00
1622239200,2021,B,1,Guarani,1350.0,1348.7679817244648,Vitória,True,1,1,D,8.399999999999999,2021-05-28 22:00:00
1622239200,2021,B,1,Vitória,1350.0,1351.2320182755352,Guarani,False,1,1,D,8.399999999999999,2021-05-28 22:00:00
1622248200,2021,B,1,Vila Nova,1350.0,1348.7679817244648,Botafogo,True,1,1,D,8.399999999999999,2021-05-29 00:30:00
1622248200,2021,B,1,Botafogo,1350.0,1351.2320182755352,Vila Nova,False,1,1,D,8.399999999999999,2021-05-29 00:30:00
1622248200,2021,B,1,Náutico,1350.0,1352.9679817244648,CSA,True,1,0,W,8.399999999999999,2021-05-29 00:30:00
1622248200,2021,B,1,CSA,1350.0,1347.0320182755352,Náutico,False,0,1,L,8.399999999999999,2021-05-29 00:30:00
1622296800,2021,B,1,Vasco da Gama,1350.0,1344.5679817244647,Operário PR,True,0,2,L,8.399999999999999,2021-05-29 14:00:00
1622296800,2021,B,1,Operário PR,1350.0,1355.4320182755353,Vasco da Gama,False,2,0,W,8.399999999999999,2021-05-29 14:00:00
1622313000,2021,C,1,Floresta,1200.0,1201.695989556837,Jacuipense,True,2,0,W,4.800000000000001,2021-05-29 18:30:00
1622313000,2021,C,1,Jacuipense,1200.0,1198.304010443163,Floresta,False,0,2,L,4.800000000000001,2021-05-29 18:30:00
1622314800,2021,B,1,CRB,1350.0,1348.7679817244648,Remo,True,2,2,D,8.399999999999999,2021-05-29 19:00:00
1622314800,2021,B,1,Remo,1350.0,1351.2320182755352,CRB,False,2,2,D,8.399999999999999,2021-05-29 19:00:00
1622314800,2021,C,1,Novorizontino,1200.0,1201.695989556837,Figueirense,True,1,0,W,4.800000000000001,2021-05-29 19:00:00
1622314800,2021,C,1,Figueirense,1200.0,1198.304010443163,Novorizontino,False,0,1,L,4.800000000000001,2021-05-29 19:00:00
1622316600,2021,B,1,Confiança,1350.0,1352.9679817244648,Cruzeiro,True,3,1,W,8.399999999999999,2021-05-29 19:30:00
1622316600,2021,B,1,Cruzeiro,1350.0,1347.0320182755352,Confiança,False,1,3,L,8.399999999999999,2021-05-29 19:30:00
1622318400,2021,C,1,Botafogo PB,1200.0,1199.295989556837,Ferroviário,True,0,0,D,4.800000000000001,2021-05-29 20:00:00
1622318400,2021,C,1,Ferroviário,1200.0,1200.704010443163,Botafogo PB,False,0,0,D,4.800000000000001,2021-05-29 20:00:00
1622318400,2021,C,1,Criciúma,1200.0,1201.695989556837,Ituano,True,1,0,W,4.800000000000001,2021-05-29 20:00:00
1622318400,2021,C,1,Ituano,1200.0,1198.304010443163,Criciúma,False,0,1,L,4.800000000000001,2021-05-29 20:00:00
1622322900,2021,B,1,Coritiba,1350.0,1352.9679817244648,Avaí,True,2,0,W,8.399999999999999,2021-05-29 21:15:00
1622322900,2021,B,1,Avaí,1350.0,1347.0320182755352,Coritiba,False,0,2,L,8.399999999999999,2021-05-29 21:15:00
1622325600,2021,A,1,Cuiabá,1500.0,1498.2399738920926,Juventude,True,2,2,D,12.0,2021-05-29 22:00:00
1622325600,2021,A,1,Juventude,1500.0,1501.7600261079074,Cuiabá,False,2,2,D,12.0,2021-05-29 22:00:00
1622325600,2021,C,1,Tombense,1200.0,1199.295989556837,Paysandu,True,1,1,D,4.800000000000001,2021-05-29 22:00:00
1622325600,2021,C,1,Paysandu,1200.0,1200.704010443163,Tombense,False,1,1,D,4.800000000000001,2021-05-29 22:00:00
1622329200,2021,A,1,Bahia,1500.0,1504.2399738920926,Santos,True,3,0,W,12.0,2021-05-29 23:00:00
1622329200,2021,A,1,Santos,1500.0,1495.7600261079074,Bahia,False,0,3,L,12.0,2021-05-29 23:00:00
1622332800,2021,A,1,São Paulo,1500.0,1498.2399738920926,Fluminense,True,0,0,D,12.0,2021-05-30 00:00:00
1622332800,2021,A,1,Fluminense,1500.0,1501.7600261079074,São Paulo,False,0,0,D,12.0,2021-05-30 00:00:00
1622383200,2021,A,1,Atlético Mineiro,1500.0,1492.2399738920926,Fortaleza,True,1,2,L,12.0,2021-05-30 14:00:00
1622383200,2021,A,1,Fortaleza,1500.0,1507.7600261079074,Atlético Mineiro,False,2,1,W,12.0,2021-05-30 14:00:00
1622383200,2021,B,1,Brusque,1350.0,1352.9679817244648,Ponte Preta,True,2,1,W,8.399999999999999,2021-05-30 14:00:00
1622383200,2021,B,1,Ponte Preta,1350.0,1347.0320182755352,Brusque,False,1,2,L,8.399999999999999,2021-05-30 14:00:00
1622401200,2021,A,1,Flamengo,1500.0,1504.2399738920926,Palmeiras,True,1,0,W,12.0,2021-05-30 19:00:00
1622401200,2021,A,1,Palmeiras,1500.0,1495.7600261079074,Flamengo,False,0,1,L,12.0,2021-05-30 19:00:00
1622401200,2021,A,1,Ceará,1500.0,1504.2399738920926,Grêmio,True,3,2,W,12.0,2021-05-30 19:00:00
1622401200,2021,A,1,Grêmio,1500.0,1495.7600261079074,Ceará,False,2,3,L,12.0,2021-05-30 19:00:00
1622401200,2021,C,1,Altos,1200.0,1201.695989556837,Volta Redonda,True,3,0,W,4.800000000000001,2021-05-30 19:00:00
1622401200,2021,C,1,Volta Redonda,1200.0,1198.304010443163,Altos,False,0,3,L,4.800000000000001,2021-05-30 19:00:00
1622408400,2021,C,1,Manaus,1200.0,1201.695989556837,Santa Cruz,True,2,0,W,4.800000000000001,2021-05-30 21:00:00
1622408400,2021,C,1,Santa Cruz,1200.0,1198.304010443163,Manaus,False,0,2,L,4.800000000000001,2021-05-30 21:00:00
1622409300,2021,A,1,Corinthians,1500.0,1492.2399738920926,Atlético GO,True,0,1,L,12.0,2021-05-30 21:15:00
1622409300,2021,A,1,Atlético GO,1500.0,1507.7600261079074,Corinthians,False,1,0,W,12.0,2021-05-30 21:15:00
1622409300,2021,A,1,Atlético PR,1500.0,1504.2399738920926,América Mineiro,True,1,0,W,12.0,2021-05-30 21:15:00
