rodada,mandante,visitante,mandante_id,visitante_id,date_unix,status
4,Botafogo,Vitória,615,610,1771977600,suspended
4,Flamengo,Mirassol,612,2721,1771977600,suspended
4,Bahia,Chapecoense,626,623,1771977600,suspended
5,Mirassol,Santos,2721,611,1773189000,incomplete
5,Atlético Mineiro,Internacional,620,630,1773266400,incomplete
5,Atlético PR,Botafogo,622,615,1773266400,incomplete
5,Bahia,Vitória,626,610,1773270000,incomplete
5,Flamengo,Cruzeiro,612,613,1773275400,incomplete
5,Corinthians,Coritiba,624,627,1773275400,incomplete
5,Remo,Fluminense,2594,617,1773352800,incomplete
5,Vasco da Gama,Palmeiras,625,619,1773354600,incomplete
5,São Paulo,Chapecoense,618,623,1773356400,incomplete
5,Grêmio,Bragantino,616,635,1773361800,incomplete
6,Vitória,Atlético Mineiro,610,620,1773523800,incomplete
6,Botafogo,Flamengo,615,612,1773531000,incomplete
6,Fluminense,Atlético PR,617,622,1773601200,incomplete
6,Santos,Corinthians,611,624,1773601200,incomplete
6,Internacional,Bahia,630,626,1773601200,incomplete
6,Coritiba,Remo,627,2594,1773610200,incomplete
6,Palmeiras,Mirassol,619,2721,1773610200,incomplete
6,Bragantino,São Paulo,635,618,1773617400,incomplete
6,Cruzeiro,Vasco da Gama,613,625,1773617400,incomplete
6,Chapecoense,Grêmio,623,616,1773702000,incomplete
7,Palmeiras,Botafogo,619,615,1773871200,incomplete
7,Bahia,Bragantino,626,635,1773871200,incomplete
7,Atlético PR,Cruzeiro,622,613,1773873000,incomplete
7,Mirassol,Coritiba,2721,627,1773874800,incomplete
7,Atlético Mineiro,São Paulo,620,618,1773874800,incomplete
7,Santos,Internacional,611,630,1773880200,incomplete
7,Vasco da Gama,Fluminense,625,617,1773880200,incomplete
7,Grêmio,Vitória,616,610,1773957600,incomplete
7,Flamengo,Remo,612,2594,1773961200,incomplete
7,Chapecoense,Corinthians,623,624,1773966600,incomplete
8,Bragantino,Botafogo,635,615,1774119600,incomplete
8,Fluminense,Atlético Mineiro,617,620,1774128600,incomplete
8,São Paulo,Palmeiras,618,619,1774137600,incomplete
8,Atlético PR,Coritiba,622,627,1774206000,incomplete
8,Cruzeiro,Santos,613,611,1774206000,incomplete
8,Remo,Bahia,2594,626,1774206000,incomplete
8,Vasco da Gama,Grêmio,625,616,1774206000,incomplete
8,Vitória,Mirassol,610,2721,1774215000,incomplete
8,Internacional,Chapecoense,630,623,1774215000,incomplete
8,Corinthians,Flamengo,624,612,1774222200,incomplete
9,Bragantino,Flamengo,635,612,1775001600,incomplete
9,Cruzeiro,Vitória,613,610,1775001600,incomplete
9,Botafogo,Mirassol,615,2721,1775001600,incomplete
9,Chapecoense,Atlético Mineiro,623,620,1775001600,incomplete
9,Coritiba,Vasco da Gama,627,625,1775001600,incomplete
9,Bahia,Atlético PR,626,622,1775001600,incomplete
9,Palmeiras,Grêmio,619,616,1775001600,incomplete
9,Santos,Remo,611,2594,1775001600,incomplete
9,Fluminense,Corinthians,617,624,1775001600,incomplete
9,Internacional,São Paulo,630,618,1775001600,incomplete
10,Atlético Mineiro,Atlético PR,620,622,1775260800,incomplete
10,Corinthians,Internacional,624,630,1775260800,incomplete
10,Vasco da Gama,Botafogo,625,615,1775260800,incomplete
