team,p_titulo,p_libertadores,p_sulamericana,p_rebaixamento,pts_mean,pts_median,pts_min,pts_max,pts_p10,pts_p90,pos_mean,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20
Flamengo,0.416,0.90495,0.0872,0.00035,70.4,70.0,40,100,60.0,80.0,2.9,0.416,0.195,0.1157,0.08285,0.05555,0.03985,0.02815,0.02155,0.01455,0.0103,0.0073,0.00535,0.00375,0.002,0.0013,0.00045,0.0002,0.00015,0.0,0.0
Palmeiras,0.1266,0.6606,0.2751,0.0048,63.2,63.0,33,95,53.0,74.0,5.5,0.1266,0.1337,0.1221,0.1045,0.0921,0.0816,0.0677,0.05575,0.05125,0.0402,0.03305,0.02715,0.0222,0.0177,0.0119,0.0077,0.0035,0.00125,5e-05,0.0
Bahia,0.09705,0.5979,0.3174,0.0071,62.1,62.0,32,90,52.0,73.0,6.1,0.09705,0.1166,0.1156,0.1016,0.089,0.07805,0.0708,0.06795,0.05605,0.04745,0.0413,0.03385,0.02735,0.0242,0.0158,0.01025,0.0053,0.0018,0.0,0.0
Fluminense,0.07215,0.5462,0.3496,0.0092,61.0,61.0,31,90,51.0,71.0,6.6,0.07215,0.0982,0.10035,0.0977,0.09275,0.08505,0.0802,0.06975,0.06215,0.05445,0.04545,0.0376,0.03455,0.0275,0.0206,0.01235,0.0066,0.0024,0.0002,0.0
Mirassol,0.07905,0.5441,0.35115,0.0091,61.0,61.0,32,90,51.0,72.0,6.6,0.07905,0.0981,0.1012,0.09445,0.0898,0.0815,0.0772,0.0694,0.0628,0.05325,0.0482,0.0403,0.0337,0.0277,0.02005,0.0142,0.0072,0.0018,0.0001,0.0
Grêmio,0.06195,0.5084,0.37285,0.01165,60.0,60.0,31,89,50.0,70.0,7.0,0.06195,0.0846,0.0897,0.09275,0.0887,0.0907,0.0785,0.0704,0.07015,0.056,0.05265,0.04515,0.039,0.02895,0.02375,0.0154,0.0086,0.00285,0.0002,0.0
Internacional,0.04695,0.457,0.39775,0.01545,59.1,59.0,26,90,49.0,69.0,7.5,0.04695,0.07305,0.0819,0.0858,0.08475,0.08455,0.0779,0.0735,0.06835,0.06645,0.0597,0.05185,0.04445,0.03535,0.02895,0.02105,0.01115,0.004,0.00025,5e-05
Bragantino,0.0216,0.2886,0.4425,0.04015,55.6,56.0,28,87,45.0,66.0,9.3,0.0216,0.0352,0.04575,0.0558,0.06275,0.0675,0.07205,0.0747,0.0751,0.07375,0.0758,0.0711,0.0724,0.0623,0.05335,0.0407,0.0273,0.0117,0.0011,5e-05
Vasco da Gama,0.01965,0.2958,0.44285,0.042,55.6,56.0,24,86,45.0,66.0,9.3,0.01965,0.03785,0.04745,0.0573,0.06305,0.0705,0.07475,0.0766,0.07375,0.07715,0.0723,0.0683,0.06405,0.06035,0.05,0.04495,0.02805,0.0129,0.00105,0.0
Santos,0.0171,0.2621,0.4431,0.04625,54.9,55.0,22,86,45.0,65.0,9.7,0.0171,0.03165,0.04275,0.04845,0.05865,0.0635,0.0701,0.07185,0.07565,0.0772,0.07345,0.07485,0.0719,0.0676,0.0628,0.04625,0.03085,0.0143,0.00105,5e-05
Botafogo,0.0142,0.2403,0.44285,0.05565,54.3,54.0,25,85,44.0,65.0,10.0,0.0142,0.02775,0.03735,0.0457,0.05575,0.05955,0.0659,0.07105,0.07315,0.07745,0.07685,0.07845,0.07735,0.069,0.0636,0.05125,0.03655,0.0174,0.00165,5e-05
São Paulo,0.00915,0.2019,0.44235,0.06465,53.6,53.0,27,87,44.0,64.0,10.5,0.00915,0.0231,0.02995,0.03865,0.0474,0.05365,0.06045,0.0654,0.0703,0.08065,0.0822,0.08335,0.0792,0.07925,0.07465,0.058,0.04255,0.02035,0.0017,5e-05
Cruzeiro,0.00905,0.1711,0.41135,0.0934,52.4,52.0,23,82,42.0,63.0,11.0,0.00905,0.0182,0.02645,0.0337,0.0391,0.0446,0.05185,0.05995,0.06725,0.07145,0.07915,0.0817,0.08615,0.0838,0.0815,0.0727,0.05715,0.0332,0.0027,0.00035
Corinthians,0.00365,0.1297,0.40085,0.0982,51.4,51.0,25,85,42.0,61.0,11.6,0.00365,0.01125,0.01845,0.02495,0.03215,0.03925,0.0477,0.05595,0.06235,0.07015,0.0758,0.0889,0.0916,0.09785,0.094,0.0878,0.062,0.0334,0.0027,0.0001
