team,team_id,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo,pontos,posicao
Palmeiras,619,4,3,1,0,12,5,7,10,1
São Paulo,618,4,3,1,0,6,2,4,10,2
Bahia,626,3,2,1,0,4,2,2,7,3
Corinthians,624,4,2,1,1,5,3,2,7,4
Atlético PR,622,4,2,1,1,4,3,1,7,5
Fluminense,617,4,2,1,1,5,4,1,7,6
Bragantino,635,4,2,1,1,3,3,0,7,7
Mirassol,2721,4,1,3,0,8,7,1,6,8
Grêmio,616,4,2,0,2,8,8,0,6,9
Chapecoense,623,3,1,2,0,8,6,2,5,10
Santos,611,5,1,2,2,8,10,-2,5,11
Flamengo,612,3,1,1,1,4,4,0,4,12
Coritiba,627,4,1,1,2,5,6,-1,4,13
Botafogo,615,3,1,0,2,7,6,1,3,14
Remo,2594,4,0,3,1,6,8,-2,3,15
Vitória,610,3,1,0,2,4,7,-3,3,16
Atlético Mineiro,620,4,0,2,2,6,8,-2,2,17
Internacional,630,4,0,2,2,3,6,-3,2,18
Cruzeiro,613,4,0,2,2,4,9,-5,2,19
Vasco da Gama,625,4,0,1,3,3,6,-3,1,20
