team,team_id,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo,pontos,posicao,elo,attack,defense,avg_xg_for,avg_xg_against
Palmeiras,619,4,3,1,0,12,5,7,10,1,1628.2,1.373988471709188,1.0170608263976024,1.8627134981877715,1.5191688051805494
São Paulo,618,4,3,1,0,6,2,4,10,2,1527.5,0.8739844887714637,0.8496690225642012,1.1848590712090892,1.2691381285224825
Bahia,626,4,2,2,0,5,3,2,8,3,1523.1,1.090140580165068,0.8606008402685912,1.4779014638090153,1.2854668239253448
Corinthians,624,4,2,1,1,5,3,2,7,4,1498.5,0.8052762314018685,0.7730708132626434,1.0917114203557325,1.1547245093137077
Atlético PR,622,4,2,1,1,4,3,1,7,5,1442.2,0.7663694887275836,0.8245484342229068,1.038965625,1.231615875
Fluminense,617,4,2,1,1,5,4,1,7,6,1565.6,1.059099648995958,0.773687682638916,1.435819333808978,1.1556459180328142
Bragantino,635,4,2,1,1,3,3,0,7,7,1452.6,0.9729279639953302,0.8824857133891996,1.3189965480889623,1.3181559371890241
Mirassol,2721,4,1,3,0,8,7,1,6,8,1524.9,1.2626188176089899,0.9332841458856005,1.7117298747787026,1.3940328090511926
Grêmio,616,4,2,0,2,8,8,0,6,9,1483.5,1.2165611842798327,0.9536788927785455,1.6492896308732485,1.4244961426740754
Chapecoense,623,3,1,2,0,8,6,2,5,10,1379.8,1.233936269422287,1.4704084592655249,1.6728450000000001,2.1963274999999998
Atlético Mineiro,620,5,1,2,2,7,8,-1,5,11,1450.6,1.0463366569582018,1.0295656458030096,1.4185165703320632,1.5378470701004532
Santos,611,5,1,2,2,8,10,-2,5,12,1464.7,1.1105488510126367,0.9581696872952689,1.5055689168955386,1.4312039764271915
Flamengo,612,3,1,1,1,4,4,0,4,13,1604.3,1.191721515569268,0.7302089413384286,1.6156145403245452,1.0907023613075315
Coritiba,627,4,1,1,2,5,6,-1,4,14,1387.9,0.6352941180781988,1.418366121417482,0.8612669999999998,2.1185926250000002
Vitória,610,4,1,1,2,5,8,-3,4,15,1464.9,0.8616521642257181,1.0035106313425382,1.168140162813288,1.4989290780202014
Botafogo,615,3,1,0,2,7,6,1,3,16,1552.3,1.087004890169583,0.9618734470468205,1.473650414982196,1.4367362279213032
Remo,2594,4,0,3,1,6,8,-2,3,17,1360.6,0.844138465115431,1.2365274502634782,1.144396875,1.8469828749999997
Internacional,630,5,0,2,3,3,7,-4,2,18,1423.2,1.0925705313703808,0.8890515307629885,1.481195743930917,1.3279632020800556
Cruzeiro,613,4,0,2,2,4,9,-5,2,19,1519.3,0.9830923286901152,0.9353151394788025,1.3327763575322882,1.3970664743249233
Vasco da Gama,625,4,0,1,3,3,6,-3,1,20,1396.7,1.0545900100281533,0.9591024002086187,1.4297056250332165,1.4325971559946014
