team,attack,defense,matches,avg_for,avg_against
São Paulo,0.8464243925937421,0.897704968229869,42,1.164595757201044,1.3862370273059466
Sport Recife,0.8171326221581091,1.379136936955139,38,1.1242931951899104,2.129664817943813
Cruzeiro,1.0201390689574532,0.8727228027891412,42,1.403609869774985,1.3476595391758461
Mirassol,1.1741558893666793,0.9273886824489775,41,1.6155216922078606,1.432074652377394
Grêmio,1.1479198873374266,0.8962665041257251,42,1.5794235635190637,1.3840157494093268
Atlético Mineiro,1.1224415916533201,1.01713670743834,42,1.544367963380345,1.5706636540770884
Fortaleza,0.938440682654472,1.1397519604377147,38,1.291201018032109,1.7600062664449148
Fluminense,1.0431781843195276,0.8612977430427802,42,1.4353094004538172,1.3300169489929958
Juventude,1.0169064619640649,0.9256916617217491,38,1.399162124149812,1.429454111050962
Vitória,0.9543641392416927,0.9746726238211773,41,1.313110110142068,1.5050905681256987
Flamengo,1.1396072267021498,0.6875192082627245,41,1.5679861694746533,1.0616679390302903
Internacional,1.235105262095407,0.853797379493912,42,1.6993819654998785,1.3184348791174123
Palmeiras,1.243175441089425,1.1230600683802037,42,1.7104857289293396,1.7342306278500408
Botafogo,0.941208793565954,0.8687931300797979,41,1.2950096632592334,1.3415913341333512
Vasco da Gama,1.1874156182008642,0.8568587798657233,42,1.6337657599320996,1.3231622970342154
Santos,1.0734876392555754,0.8586790151119158,42,1.477012195092605,1.3259731063601956
Bahia,1.1937359176237787,1.0027053456543789,41,1.6424618631594783,1.548378728887444
Corinthians,0.7718989835984936,0.7789229631733909,42,1.0620562086259162,1.2028137207472056
Bragantino,1.0721563718124099,0.9106009888262471,42,1.4751805035327015,1.4061510768971501
Ceará,0.8715329214062565,0.8186061875223114,38,1.1991425949109176,1.2640926006712347
Remo,0.9647545269971554,1.191258355527631,4,1.3274062500000001,1.8395424999999999
Coritiba,0.7075802282107309,1.654579639009118,4,0.97356,2.55500375
Atlético PR,0.7825556707791742,1.0322983307864062,4,1.07671875,1.5940762499999999
Chapecoense,0.7346824784161401,1.4705500172956223,3,1.01085,2.2708249999999994
